%OpenBCI Raw EXG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
87.0, -8964.97177660129, -8266.479762372943, -6582.275817665555, -6651.3427080324545, -5509.570897766459, -8005.63490457951, -9289.250885158883, -8052.0147743242715, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.730919631107187E9, 0.0, 2024-11-06 16:00:31.107
88.0, -8982.406137276428, -8284.651730615107, -6603.733492342651, -6635.920004358292, -5505.458176786683, -8016.654314595976, -9301.969027753954, -8043.4987596867995, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7309196311072347E9, 0.0, 2024-11-06 16:00:31.107
89.0, -8950.823122361078, -8254.409820367076, -6579.25833216409, -6647.855835897427, -5530.737999765635, -8016.542555873699, -9310.038007502319, -8054.160541791981, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.730919631107268E9, 0.0, 2024-11-06 16:00:31.107
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7309196311871238E9, 0.0, 2024-11-06 16:00:31.187
1.0, -8994.185506604375, -8419.455101425065, -6595.038663749536, -6662.9656151492145, -5486.995635866599, -8026.869061812051, -9291.866039260154, -8111.269248875291, -0.004, 0.974, 0.20600000000000002, 192.0, 255.0, 224.0, 30.0, 112.0, 6.0, 112.0, 0.0, 0.0, 0.0, 1.7309196312050736E9, 0.0, 2024-11-06 16:00:31.205
2.0, -9004.556716031637, -8430.809787608361, -6614.082350025457, -6651.856798154927, -5489.7001969456915, -8041.665916641465, -9308.74160632391, -8106.4636238174, -0.004, 0.974, 0.20600000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7309196312080722E9, 0.0, 2024-11-06 16:00:31.208
3.0, -8965.619977190492, -8392.677711567607, -6582.678149065751, -6667.41361229582, -5516.119958891864, -8039.296631729202, -9313.882507548631, -8120.545222824243, -0.004, 0.974, 0.20600000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7309196312113018E9, 0.0, 2024-11-06 16:00:31.211
4.0, -8952.767724128691, -8379.154906172145, -6562.114544166869, -6683.350406092454, -5519.360961837883, -8027.271393212247, -9300.538516108814, -8129.977658984382, -0.004, 0.974, 0.20600000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.730919631215192E9, 0.0, 2024-11-06 16:00:31.215
5.0, -8990.430413535883, -8416.012932778947, -6591.194163703223, -6670.475801286198, -5493.745862692102, -8028.768960090752, -9294.302379405783, -8117.75125476733, -0.004, 0.974, 0.20600000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.730919631218183E9, 0.0, 2024-11-06 16:00:31.218
6.0, -9007.820070722111, -8434.408418465664, -6615.825786092972, -6652.996737122147, -5487.1744498222415, -8041.375343963546, -9306.88641153412, -8107.067120917693, -0.004, 0.974, 0.20600000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.730919631223051E9, 0.0, 2024-11-06 16:00:31.223
