"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"DrivEmo: A Novel Approach for EEG-Based Emotion Classification for Drivers","T. A. Gamage; E. R. C. Sandamali; P. Kalansooriya","Department of Computer Science, General Sir John Kotelawala Defence University, Sri Lanka; Department of Computational Mathematics, General Sir John Kotelawala Defence University, Sri Lanka; Department of Computer Science, General Sir John Kotelawala Defence University, Sri Lanka",2023 International Research Conference on Smart Computing and Systems Engineering (SCSE),"17 Aug 2023","2023","6","","1","6","Electroencephalogram (EEG) based emotion recognition approaches have proven to be successful with the latest technologies, and therefore, driver emotion recognition is also being widely discussed for enhancing road safety. This paper reveals a unique approach to driver emotion recognition for the calm, fear, sad, and anger emotional states where calm is the desired state of mind while driving. Emotiv EPOC X 14 channel EEG headset is utilised for the EEG collection, and ten subjects are involved in the experiment. EEG preprocessing of the collected EEG data is done using the EEGLAB toolbox in Matlab. EEG feature extraction is performed using Matlab, and feature selection and classification model training is done using the Classification Learner app in Matlab. ANOVA and ReliefF are employed as the feature selection algorithms, and Support Vector Machine (SVM) and Naïve Bayes classifiers are utilised for the emotion classification. The outcomes reveal that the highest mean accuracy of 95% is achieved from the Coarse Gaussian SVM classifier, while the lowest mean accuracy of 85% is obtained from the Fine Gaussian SVM classifier detecting the calm, fear, sad, and anger emotional states. In addition, all the other trained classifier models have an accuracy between 85% and 95%. Therefore, the findings suggest that the proposed EEG-based implementation approach of an emotion classification model for drivers is highly successful and can be employed in future research in the paradigm of driver emotion recognition as well. Besides, this research presents a critical literature review concerning critical aspects of EEG-based emotion recognition research.","2613-8662","979-8-3503-4145-4","10.1109/SCSE59836.2023.10215028","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10215028","EEG;emotion recognition;feature extraction;feature selection;road safety","Support vector machines;Training;Emotion recognition;Feature extraction;Brain modeling;Electroencephalography;Mathematical models","","1","","48","IEEE","17 Aug 2023","","","IEEE","IEEE Conferences"
"An Emotion Classification Model for Driver Emotion Recognition Using Electroencephalography (EEG)","T. A. Gamage; L. P. Kalansooriya; E. R. C. Sandamali","Department of Computer Science, General Sir John Kotelawala Defence University, Sri Lanka; Department of Computer Science, General Sir John Kotelawala Defence University, Sri Lanka; Dept. of Computational Mathematics, General Sir John Kotelawala Defence University, Sri Lanka",2022 International Research Conference on Smart Computing and Systems Engineering (SCSE),"4 Oct 2022","2022","5","","76","82","Road accidents have been a critical issue that has resulted in fatal injuries, disabilities, and deaths for many individuals worldwide. The notion of Human-Computer Interaction (HCI) is widely considered in monitoring drivers to safeguard their lives on roads. As a solution to the issue of the higher rate of road accidents, driver emotion recognition approaches have gained much attention, and the involvement of biological signals in detecting the emotional states of drivers is also significant. The authors have conducted a comprehensive literature review that concerns contemporary literature on the driver emotion recognition paradigm and comes up with four emotional states in this research to monitor the drivers' affective states. This paper presents a novel approach to detecting sad, angry, fearful, and calm emotional states of drivers with an emotion classification model using Electroencephalography (EEG) signals where the EEG data acquisition for the research is done using the Emotiv EPOC X device. The collected EEG data are preprocessed using the EEGLAB toolbox in Matlab, and feature extraction, selection, and emotion classification model training are done using Matlab. EEG acquisition and preprocessing have already been achieved, and as further work, the authors are to train the proposed emotion classification model as laid out in this paper. The findings of this research encourage the authors to continue towards the completion and provide further insights into enhancing research in the driver emotion recognition paradigm.","2613-8662","978-1-6654-7375-0","10.1109/SCSE56529.2022.9905108","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9905108","driver emotion recognition;EEG;EEGLAB;emotion classification;road safety","Human computer interaction;Emotion recognition;Road accidents;Brain modeling;Electroencephalography;Mathematical models;Data models","","7","","34","IEEE","4 Oct 2022","","","IEEE","IEEE Conferences"
"EEG-Based on Emotion Recognition Using Machine Learning","Y. Zhang","Huazhong Agricultural University, Wuhan, China",2023 IEEE International Conference on Image Processing and Computer Applications (ICIPCA),"27 Sep 2023","2023","","","226","232","Emotion is of great significance in human's daily interaction. Contemporarily, emotion recognition systems are beneficial in various areas, ranging from human-computer interaction (HCI) system to healthcare safety. So far, the Electroencephalogram (EEG) has received much attention because of its sensitivity to mood changes. However, the relationship hasn't been fully researched. To investigate the relationship among emotions, bands, channels and find a better classifier, this experiment organize the framework based on the DEAP dataset. After the data preprocessing, EEG data is reduced by principal component analysis (PCA). Then to create the emotion feature vectors, the discrete wavelet transform (DWT) is chosen as the parameter. Lastly, to categorize the EEG signal, support vector machine (SVM), random forest (RF), k-nearest neighbor (KNN), XGboost model is created. According to the experiment, this paper obtained the following relevant conclusions: 1) RF, SVM, KNN and XGboost classifier, performed with the accuracy of 77.01%, 80.44%, 66.75% and 77.75%, respectively; 2) In temperal and whole brain regions, gamma has the highest recognition ability, reaching 76.77% and 77.02%. The beta performs best in occipital, parietal, and central regions with 78.00%, 77.26%, and 78.00%, respectively; 3) The higher the frequency, the greater the oscillatory dynamics of brain activity on positive / negative emotions; 4) The AF3, AF4 area has a greater effect in reflecting emotions because of less irrelevant influences.","","979-8-3503-1467-0","10.1109/ICIPCA59209.2023.10257784","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10257784","EEG;emotion recognition;DEAP;machine learning","Support vector machines;Human computer interaction;Emotion recognition;Sensitivity;Transforms;Brain modeling;Electroencephalography;Discrete wavelet transforms;Classification tree analysis;Principal component analysis","","","","11","IEEE","27 Sep 2023","","","IEEE","IEEE Conferences"
"A Review on Face Emotion Recognition using EEG Features and Facial Features","S. A. Bhosale; S. R. Chougule","Department of Electronics Engineering, KITCOE Research Center, Shivaji Univesity, Kolhapur, India; Department of Electronics Engineering, KITCOE Research Center, Shivaji Univesity, Kolhapur, India",2023 1st International Conference on Cognitive Computing and Engineering Education (ICCCEE),"12 Feb 2024","2023","","","1","5","Emotions recognition using feature extraction from face, Speech and EEG signal have become emerging research field. It has contributed in different research areas like safety, biomedical sector, industrial automation and Human Computer Interface. Deep Learning approach using Convolution Neural Networks (CNN) has provided better results in obtaining an accuracy in Facial Emotion Recognition. Researcher are trying to get better results by using a novel approach along with CNN’s to obtain better results. This paper will help the researchers to understand the novel approach in Deep Learning used for Facial Emotion Recognition (FER) with different techniques and Electroencephalogram (EEG) based emotion recognition classified on basis of Valence, Arousal and Dominance with different datasets like DEAP (Database of Emotion Analysis using Physiological signals), SEED (SJTU Emotion EEG Dataset). The review provided use of different dataset and the accuracy of models while using those dataset along with the novel approaches in Emotion Recognition. This paper also reviews different algorithms, architectures and recent work carried by different researchers.","","979-8-3503-3280-3","10.1109/ICCCEE55951.2023.10424432","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10424432","Facial Emotion Recognition;CNN;Deep Learning;EEG and database","Deep learning;Emotion recognition;Databases;Face recognition;Computer architecture;Electroencephalography;Facial features","","1","","39","IEEE","12 Feb 2024","","","IEEE","IEEE Conferences"
"Emotional State Evaluation during Collision Avoidance Operations of Seafarers Using Ship Bridge Simulator and Wearable EEG","Z. Wang; J. Zhang; Z. Mao; S. Fan; Z. Wang; H. Wang","Intelligent Transportation Systems Center, Wuhan University of Technology; National Engineering Research Center for Water Transport Safety, Wuhan University of Technology, Inland Port and Shipping Industry Researc Co. Ltd., Guangdong, China; Intelligent Transportation Systems Center, Wuhan University of Technology; National Engineering Research Center for Water Transport Safety, Wuhan University of Technology, Inland Port and Shipping Industry Researc Co. Ltd., Guangdong, China; Intelligent Transportation Systems Center, Wuhan University of Technology; National Engineering Research Center for Water Transport Safety, Wuhan University of Technology, Wuhan, China; Liverpool Logistics, Offshore and Marine (LOOM) Research Institute, Liverpool John Moores University, Liverpool, UK; Zhangjiagang Maritime Safety Administration, Jiangsu, China; Zhangjiagang Maritime Safety Administration, Jiangsu, China",2021 6th International Conference on Transportation Information and Safety (ICTIS),"27 Jun 2022","2021","","","415","422","Seafarers' emotional states (e.g., pleasure, displeasure, excitement, and stress) has been proved as a critical factor that affects their performance during collision avoidance operations. The emotion can be quantified using an electroencephalogram (EEG) sensor to reflect its correlations with human performance. Given the advantages of wearable EEG (portable, wireless and high resolutions), it provides an effective method for non-intrusive emotion measurement. This study conducted experiments to measure the emotional states of the seafarers. Firstly, two encounter situations based on the ship bridge simulator were formulated for the test. During the experiments, the participants were required to wear an EEG that measures brain activity reflecting the emotional states of seafarers while operating using the ship bridge simulator. At the same time, the trajectories of vessel movement were recorded accordingly. Next, a bipolar dimensional emotion model consisting of valence (from displeasure to pleasure) and arousal (from relaxation to excitement) dimensions, was generated to identify seafarers' emotional states. Integrated with vessel trajectory data (such as rudder angle, ship speed, etc.), the correlation analysis was conducted to explore the patterns of seafarers' emotion during collision avoidance operations. The results show that the emotional states of seafarers varied in different ship encounter situations and were closely related to the vessel trajectory. Also, it demonstrated the applicability of wearable EEG technology in emotional state evaluations for seafarers.","","978-1-6654-9713-8","10.1109/ICTIS54573.2021.9798643","National Natural Science Foundation of China(grant numbers:52071247); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9798643","maritime transportation;maritime safety;electroencephalogram;emotion;ship bridge simulator","Bridges;Wireless sensor networks;Correlation;Atmospheric measurements;Navigation;Particle measurements;Electroencephalography","","","","17","IEEE","27 Jun 2022","","","IEEE","IEEE Conferences"
"Efficient Sample and Feature Importance Mining in Semi-Supervised EEG Emotion Recognition","X. Li; F. Shen; Y. Peng; W. Kong; B. -L. Lu","School of Computer Science, Hangzhou Dianzi University, Hangzhou, China; School of Computer Science, Hangzhou Dianzi University, Hangzhou, China; School of Computer Science, Hangzhou Dianzi University, Hangzhou, China; School of Computer Science, Hangzhou Dianzi University, Hangzhou, China; Department of Computer Science and Engineering, Shanghai Jiao Tong University, Shanghai, China",IEEE Transactions on Circuits and Systems II: Express Briefs,"28 Jun 2022","2022","69","7","3349","3353","Recently, electroencephalogram (EEG)-based emotion recognition has attracted increasing interests in research community. The weak, non-stationary, multi-rhythm and multi-channel properties of EEG data easily cause the extracted EEG samples and features contribute differently in recognizing emotional states. However, existing studies either failed to consider both the issues of sample and feature importance or only considered one of them. In this brief, we propose a new model termed sJSFE (semi-supervised Joint Sample and Feature importance Evaluation) to quantitatively measure the sample and feature importance by self-paced learning and feature self-weighting respectively. Experimental results on the SEED-IV data set show that the emotion recognition performance is greatly improved by mining both the sample and feature importance. Specifically, the average accuracy obtained by sJSFE across the three cross-session recognition tasks is 82.45%, which is respectively 3.72% and 7.21% and 10.47% and 18.82% higher than the results of traditional models. Besides, the feature importance vector depicts that the Gamma frequency band contributes the most, and the brain regions of prefrontal, left/right temporal and (central) parietal lobes correlate more to emotion recognition. The sample importance descriptor shows that continual transitions of video types in consecutive trials might weaken the feature-label consistency of the collected EEG data.","1558-3791","","10.1109/TCSII.2022.3163141","National Key Research and Development Program of China(grant numbers:2017YFE0116800); National Natural Science Foundation of China(grant numbers:61971173); Fundamental Research Funds for the Provincial Universities of Zhejiang(grant numbers:GK209907299001-008); CAAC Key Laboratory of Flight Techniques and Flight Safety(grant numbers:FZ2021KF16); Guangxi Key Laboratory of Optoelectronic Information Processing (Guilin University of Electronic Technology)(grant numbers:GD21202); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9744018","EEG;emotion recognition;feature importance;sample importance;semi-supervised learning","Electroencephalography;Emotion recognition;Brain modeling;Task analysis;Feature extraction;Data models;Data mining","","9","","15","IEEE","29 Mar 2022","","","IEEE","IEEE Journals"
"An investigation of pilot emotion change detection based on multimodal physiological signals","F. Wei; D. Wu; D. Chen","College of Civil Aviation, Nanjing University of Aeronautics and Astronautics, Nanjing, China; College of Civil Aviation, Nanjing University of Aeronautics and Astronautics, Nanjing, China; College of Civil Aviation, Nanjing University of Aeronautics and Astronautics, Nanjing, China",2020 IEEE 2nd International Conference on Civil Aviation Safety and Information Technology (ICCASIT,"9 Mar 2021","2020","","","1029","1034","Aviation safety assurance is the most important point in the course of civil aviation flight. During the flight, the control of the aircraft and the handling of emergencies are also closely related to the emotional changes of pilots. This paper collects pilot physiological signals, performs signal preprocessing, signal feature extraction, classification, etc., and finally establishes a model of emotion-physiological signal. The classification accuracy of this model for Valence, Arousal and Dominance is 0.9413, 0.9735 and 0.9804, respectively, which proves the feasibility of using biological signals to classify pilot emotions.","","978-1-7281-9948-1","10.1109/ICCASIT50869.2020.9368711","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9368711","Flight simulation;physiological signals;emotion recognition","Support vector machines;Radio frequency;Emotion recognition;Feature extraction;Brain modeling;Physiology;Safety","","3","","11","IEEE","9 Mar 2021","","","IEEE","IEEE Conferences"
"A smart HMI for driving safety using emotion prediction of EEG signals","G. S. Thirunavukkarasu; H. Abdi; N. Mohajer","Institute for Intelligent Systems Research and Innovation (IISRI), Deakin University, Australia; Institute for Intelligent Systems Research and Innovation (IISRI), Deakin University, Australia; Institute for Intelligent Systems Research and Innovation (IISRI), Deakin University, Australia","2016 IEEE International Conference on Systems, Man, and Cybernetics (SMC)","9 Feb 2017","2016","","","004148","004153","This paper provides an overview on the past pieces of literature on emotion prediction systems and the different machine learning algorithms used to classify emotions. We propose a system which incorporates the emotion prediction system with a custom Smart Human Machine Interface (SHMI) for vehicle drivers to improve drive safety. This is achieved based on EEG signals and basic vehicle information's obtained from an OBD (On-Board Diagnostics) data. EEG signals are classified into four emotional states: happy, sad, relaxed and angry. In this paper, we present an initial development of the Smart Human Machine Interface (SHMI) for emotion detection for vehicle applications. To evaluate the classification of the EEG signals we use Russell's circumflex model, Higuchi Fractal Dimension (HFD), PSD (Power Spectral Density) for feature extraction and Support Vector Machines (SVM) for classification.","","978-1-5090-1897-0","10.1109/SMC.2016.7844882","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7844882","Electroencephalogram (EEG) Sensors;Smart Human Machine Interface (SHMI);Support Vector Machines (SVM);PSD (Power Spectral Density);OBD (On-Board Diagnostics);Higuchi Fractal Dimension (HFD)","Support vector machines;Music;Electroencephalography;Niobium;Feature extraction;Modems;Emotion recognition","","15","","45","IEEE","9 Feb 2017","","","IEEE","IEEE Conferences"
"An EEG Data Processing Approach for Emotion Recognition","G. Li; D. Ouyang; Y. Yuan; W. Li; Z. Guo; X. Qu; P. Green","Institute of Human Factors and Ergonomics, College of Mechatronics and Control Engineering, Shenzhen University, Shenzhen, China; Institute of Human Factors and Ergonomics, College of Mechatronics and Control Engineering, Shenzhen University, Shenzhen, China; Institute of Human Factors and Ergonomics, College of Mechatronics and Control Engineering, Shenzhen University, Shenzhen, China; State Key Laboratory of Automotive Safety and Energy, School of Vehicle and Mobility, Tsinghua University, Beijing, China; School of Transportation and Logistics, Southwest Jiaotong University, Chengdu, China; Institute of Human Factors and Ergonomics, College of Mechatronics and Control Engineering, Shenzhen University, Shenzhen, China; Department of Industrial and Operations Engineering, University of Michigan Transportation Research Institute (UMTRI), University of Michigan, Ann Arbor, MI, USA",IEEE Sensors Journal,"30 May 2022","2022","22","11","10751","10763","As the most direct way to measure the true emotional states of humans, EEG-based emotion recognition has been widely used in affective computing applications. In this paper, we aim to propose a novel emotion recognition approach that relies on a reduced number of EEG electrode channels and at the same time overcomes the negative impact of individual differences to achieve a high recognition accuracy. According to the statistical significance results of EEG power spectral density (PSD) features obtained from the SJTU Emotion EEG Dataset (SEED), six candidate sets of EEG electrode channels are determined. An experiment-level batch normalization (BN) is proposed and applied on the features from the candidate sets, and the normalized features are then used for emotion recognition across individuals. Eleven well-accepted classifiers are used for emotion recognition. The experimental results show that the recognition accuracy when using a small portion of the available electrodes is almost the same or even better than that when using all the channels. Based on the reduced number of electrode channels, the application of experiment-level BN can help further improve the recognition accuracy, specifically from 73.33% to 89.63% when using the LR classifier. These results demonstrate that better and easier emotion recognition performance can be achieved based on the batch normalized features from fewer channels, indicating promising applications of our proposed method in real-time emotion recognition applications in intelligent systems.","1558-1748","","10.1109/JSEN.2022.3168572","NSF China(grant numbers:51805332,52072320); Shenzhen Fundamental Research and Discipline Layout project(grant numbers:JCYJ20190808142613246,20200803015912001); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9761248","Electroencephalogram (EEG);emotion recognition;electrode channels selection;batch normalization;individual difference","Emotion recognition;Electroencephalography;Electrodes;Feature extraction;Sensors;Neural networks;Deep learning","","39","","67","IEEE","21 Apr 2022","","","IEEE","IEEE Journals"
"4D Recurrent Neural Network Based on Time-Space-Frequency Domain Fusion for EEG Emotion Recognition","H. Yang; M. Wang","College of Arts and Sciences, Northeast Agricultural University, Harbin, China; College of Arts and Sciences, Northeast Agricultural University, Harbin, China",2022 IEEE 4th International Conference on Civil Aviation Safety and Information Technology (ICCASIT),"27 Dec 2022","2022","","","230","236","In recent years, EEG emotion recognition has had broad prospects in various research fields. Most of the existing EEG identification studies use a single feature and do not simultaneously consider the effects of EEG information on time, space and frequency. However, neuroscience shows that the response degree of emotion depends on the EEG channels of different frequencies. In this paper, A recursive neural network approach is proposed to analyze EEG signals at different times and regions by integrating the time domain, frequency domain, and space domain. Firstly, the 2D channel map is extracted to obtain frequency domain features, and then the 2D channel map with different frequency domain features is fused to obtain 3D spatial frequency domain data. Finally, the 3D data in different time periods are connected to obtain the 4D feature structure used for the training depth model. 4D data feature makes up for the defect that a single feature cannot perceive channel information of different frequencies and produce a more significant effect than single feature emotion recognition. Experiments on the SEED data set show that the multi-feature fusion model performs better than other models in EEG emotion recognition.","","978-1-6654-6766-7","10.1109/ICCASIT55263.2022.9986771","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9986771","emotion recognition;feature fusion;RNN neural network","Training;Emotion recognition;Time-frequency analysis;Recurrent neural networks;Three-dimensional displays;Brain modeling;Feature extraction","","","","10","IEEE","27 Dec 2022","","","IEEE","IEEE Conferences"
