"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Decoding Olfactory EEG Signals Using Multi-Domain Features and Machine Learning","S. P. Akbugday; B. Akbugday; F. Yeganli; A. Akan; R. Sadikzade","Dept. of Biomedical Eng, Izmir University of Economics, Izmir, TURKEY; Dept. of Electrical and Electronics Eng, Izmir University of Economics, Izmir, TURKEY; Dept. of Electrical and Electronics Eng, Izmir University of Economics, Izmir, TURKEY; Dept. of Electrical and Electronics Eng, Izmir University of Economics, Izmir, TURKEY; Dept. of Business Administration, Izmir University of Economics, Izmir, TURKEY",2024 Medical Technologies Congress (TIPTEKNO),"20 Nov 2024","2024","","","1","4","Accurate detection of human emotion is an important topic for affective computing. Especially with the rise of artificial intelligence in the marketing industry, the tools available are subjective and often heavily dependent on sample sizes and demographics. This study explores the neural responses to olfactory stimuli by analyzing EEG data collected from 57 participants exposed to a perfume scent in correlation with self-reported survey results. The electroencephalogram (EEG) signals were processed to extract time-domain, spectral-domain, and nonlinear features, which were subsequently classified using various machine learning algorithms. The classification outcomes were mapped onto a two-dimensional pleasure-arousal plane, with the Medium Gaussian support vector machine (SVM) achieving the highest performance, including $99.8 \%$ validation accuracy and $100 \%$ test accuracy. These results highlight the significant potential of EEG-based approaches in decoding the neural underpinnings of sensory experiences, with implications for applications in neuromarketing and therapeutic contexts.","2687-7783","979-8-3315-2981-9","10.1109/TIPTEKNO63488.2024.10755366","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10755366","olfactory EEG;EEG;machine learning;emotion recognition;arousal-valence plane;neuromarketing","Support vector machines;Surveys;Emotion recognition;Accuracy;Olfactory;Feature extraction;Electroencephalography;Decoding;Time-domain analysis;Spectral analysis","","","","17","IEEE","20 Nov 2024","","","IEEE","IEEE Conferences"
"An Olfactory EEG Signal Classification Network Based on Frequency Band Feature Extraction","B. Sun; Z. Wei; Z. Deng; H. Hou","School of Electrical and Information Engineering, Tianjin University, Tianjin, P. R. China; School of Electrical and Information Engineering, Tianjin University, Tianjin, P. R. China; Tianjin Fire Science and Technology Research Institute of MEM, Tianjin, P. R. China; School of Electrical and Information Engineering, Tianjin University, Tianjin, P. R. China",2022 41st Chinese Control Conference (CCC),"11 Oct 2022","2022","","","7407","7411","Classification of olfactory-induced electroencephalogram (EEG) signals has shown great potential in many fields. Since different frequency bands within the EEG signals contain different information, extracting specific frequency bands for classification performance is important. Moreover, due to the large inter-subject variability of the EEG signals, extracting frequency bands with subject-specific information rather than general information is crucial. Considering these, the focus of this letter is to classify the olfactory EEG signals by exploiting the spectral-domain information of specific frequency bands. In this letter, we present an olfactory EEG signal classification network based on frequency band feature extraction. A frequency band generator is first designed to extract frequency bands via the sliding window technique. Then, a frequency band attention mechanism is proposed to optimize frequency bands for a specific subject adaptively. Last, a convolutional neural network (CNN) is constructed to extract the spatio-spectral information and predict the EEG category. Comparison experiment results reveal that the proposed method outperforms a series of baseline methods in terms of both classification quality and inter-subject robustness. Ablation experiment results demonstrate the effectiveness of each component of the proposed method.","1934-1768","978-988-75815-3-6","10.23919/CCC55666.2022.9901764","National Natural Science Foundation of China(grant numbers:61971303); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9901764","EEG;frequency band extraction;attention mechanism;subject-specific;deep learning","Olfactory;Pattern classification;Feature extraction;Electroencephalography;Robustness;Generators;Entropy","","1","","25","","11 Oct 2022","","","IEEE","IEEE Conferences"
"TESANet: Self-attention network for olfactory EEG classification","C. Tong; Y. Ding; K. L. Jun Liang; Z. Zhang; H. Zhang; C. Guan","School of Computer Science and Engineering, Nanyang Technological University, Singapore; School of Computer Science and Engineering, Nanyang Technological University, Singapore; Wilmar International, Singapore; Agency for Science, Technology and Research, Institute for Infocomm Research, Singapore; Agency for Science, Technology and Research, Institute for Infocomm Research, Singapore; School of Computer Science and Engineering, Nanyang Technological University, Singapore",2022 International Joint Conference on Neural Networks (IJCNN),"30 Sep 2022","2022","","","1","7","The olfactory system is known to be associated with emotion during odor stimulation. A well-designed computational model that can correctly recognize preference induced by odor stimulation can be vital in the food and perfume industries. Electroencephalogram (EEG) can be used to study the brain's response to odor stimulation due to its good temporal resolution and low acquisition cost. In this study, we proposed a novel self-attention deep learning framework: Temporal Segment Attention Network (TESANet) to classify the brain state of subjects when they are exposed to pleasant and unpleasant odors. Odor stimulation is a continuous process, the temporal dynamics of the EEG signal should reflect the continuous changes of the brain responses to the given odor, thus we design the model to capture the intercorrelation between time segments of the EEG by utilizing the self-attention mechanism. TESANet consists of a filter-bank layer to extract spectral features, a spatial convolution layer to extract spatial features, a temporal segmentation layer to split the data into overlapping time windows, a Long Short-Term Memory (LSTM) layer to encode the temporal segments, a self-attention layer to decode the temporal dynamics by learning the intercorrelation between time segments, and finally a fully connected layer for classification. Experiments on an olfactory EEG dataset demonstrated that the proposed method outperforms other competing deep learning methods for odor pleasantness classification.","2161-4407","978-1-7281-8671-9","10.1109/IJCNN55064.2022.9892920","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9892920","Brain Computer Interface;EEG;Olfactory;Deep Learning;Attention","Deep learning;Industries;Costs;Convolution;Olfactory;Feature extraction;Brain modeling","","3","","42","IEEE","30 Sep 2022","","","IEEE","IEEE Conferences"
"Deciphering Odor Perception through EEG Brain Activity and Gas Sensors","H. -P. Peng; H. -L. Hsiao; C. -H. Su; Y. -C. Lin; P. -C. Kuo","Department of Computer Science, National Tsing Hua University, Hsinchu, Taiwan; Department of Computer Science, National Tsing Hua University, Hsinchu, Taiwan; Department of Computer Science, National Tsing Hua University, Hsinchu, Taiwan; Institute of Neuroscience, National Yang Ming Chiao Tung University, Hsinchu, Taiwan; Department of Computer Science, National Tsing Hua University, Hsinchu, Taiwan",2024 46th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),"17 Dec 2024","2024","","","1","4","Recent technological advances have led to innovations like electronic noses and gas sensors, proficient in detecting distinct odors. Despite this, the field of AI and robotics has only marginally explored olfaction, a sense crucial for evoking emotions and memories. Our study investigates the correlation between gas sensor signals and EEG activity during odor recognition. By comparing our findings with questionnaire results, we suggest that individual experiences might influence odor recognition in the human brain. We designed an odor-dispensing system and recorded EEG responses from 15 subjects to six odors, alongside concentration data of four gases for each odor. These EEG and gas sensor data were analyzed using two neural networks for odor classification. Combining EEG and gas sensor data, we attained a 44% accuracy in 6-class odor discrimination, indicating the potential of this integrated approach as a unique ‘odor fingerprint’ for odor identification.","2694-0604","979-8-3503-7149-9","10.1109/EMBC53108.2024.10782394","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10782394","Olfactory perception;EEG;Odor fingerprint","Technological innovation;Accuracy;Psychology;Fingerprint recognition;Brain modeling;Robot sensing systems;Electroencephalography;Data models;Artificial intelligence;Gas detectors","Humans;Electroencephalography;Odorants;Brain;Gases;Adult;Male;Female;Olfactory Perception;Smell","","","9","IEEE","17 Dec 2024","","","IEEE","IEEE Conferences"
"AromaNet: Integrating Attention Mechanism with Convolutional Neural Network for Olfactory Perception Classification Using EEG Signals","S. De; P. Mukherjee; D. Konar; A. H. Roy","Institute of Radio Physics and Electronics University of Calcutta, Kolkata, India; Institute of Radio Physics and Electronics University of Calcutta, Kolkata, India; Institute of Radio Physics and Electronics University of Calcutta, Kolkata, India; Institute of Radio Physics and Electronics University of Calcutta, Kolkata, India","2023 4th International Conference on Communication, Computing and Industry 6.0 (C216)","19 Feb 2024","2023","","","01","06","Today, many people suffer from neurological and psychological issues. Neurological diseases are commonly characterized by a loss of olfactory sensation. Getting proper treatment for these neurologic diseases at an early stage increases the chances of recovery. A patient often is not able to comprehend the loss of olfactory perception in the early stages of neurological diseases such as Alzheimer's disease, Parkinson's disease, etc. In order to identify olfactory sensory loss early, deep learning frameworks can be very useful. The main objective of our study is to build a deep learning-based model for classifying five different aromatic stimuli, i.e., no smell, rose water's smell, perfume's smell, cinnamon's smell, and odonil's smell using the EEG signals of subjects. In this paper, an Attention mechanism-based 1D Convolution Neural Network (CNN) architecture has been introduced. The designed model successfully classified five types of olfactory stimuli using EEG signals with 97.92% accuracy. The study is novel in two respects, i.e., i) appending attention mechanism to the designed 1D CNN model to improve its performance, and ii) analyzing changes occurring in different brain regions in response to different olfactory stimuli.","","979-8-3503-2732-8","10.1109/C2I659362.2023.10430936","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10430936","CNN;Olfactory Perception Classification;EEG","Neurological diseases;Olfactory;Psychology;Brain modeling;Electroencephalography;Convolutional neural networks;Monitoring","","5","","18","IEEE","19 Feb 2024","","","IEEE","IEEE Conferences"
"FBANet: An Effective Data Mining Method for Food Olfactory EEG Recognition","X. Xia; Y. Shi; P. Li; X. Liu; J. Liu; H. Men","School of Automation Engineering, Northeast Electric Power University, Jilin, China; School of Automation Engineering, Northeast Electric Power University, Jilin, China; School of Automation Engineering, Northeast Electric Power University, Jilin, China; School of Electrical Engineering, Xi’an Jiaotong University, Xi’an, China; School of Automation Engineering, Northeast Electric Power University, Jilin, China; School of Automation Engineering, Northeast Electric Power University, Jilin, China",IEEE Transactions on Neural Networks and Learning Systems,"7 Oct 2024","2024","35","10","13550","13560","At present, the sensory evaluation of food mostly depends on artificial sensory evaluation and machine perception, but artificial sensory evaluation is greatly interfered with by subjective factors, and machine perception is difficult to reflect human feelings. In this article, a frequency band attention network (FBANet) for olfactory electroencephalogram (EEG) was proposed to distinguish the difference in food odor. First, the olfactory EEG evoked experiment was designed to collect the olfactory EEG, and the preprocessing of olfactory EEG, such as frequency division, was completed. Second, the FBANet consisted of frequency band feature mining and frequency band feature self-attention, in which frequency band feature mining can effectively mine multiband features of olfactory EEG with different scales, and frequency band feature self-attention can integrate the extracted multiband features and realize classification. Finally, compared with other advanced models, the performance of the FBANet was evaluated. The results show that FBANet was better than the state-of-the-art techniques. In conclusion, FBANet effectively mined the olfactory EEG data information and distinguished the differences between the eight food odors, which proposed a new idea for food sensory evaluation based on multiband olfactory EEG analysis.","2162-2388","","10.1109/TNNLS.2023.3269949","Science and Technology Development Plan of Jilin Province(grant numbers:YDZJ202101ZYTS135); National Natural Science Foundation of China(grant numbers:31772059); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10130801","Attention mechanism;deep learning;food sensory evaluation;multiband electroencephalogram (EEG) feature;odor recognition;olfactory EEG","Electroencephalography;Olfactory;Feature extraction;Brain modeling;Data mining;Convolutional neural networks;Data models","Humans;Electroencephalography;Data Mining;Neural Networks, Computer;Odorants;Smell;Food;Adult;Male;Young Adult;Female;Olfactory Perception","8","","34","IEEE","23 May 2023","","","IEEE","IEEE Journals"
"Detection of Olfactory Stimulus from EEG Signals for Neuromarketing Applications","S. Pehlivan; B. Akbugday; A. Akan; R. Sadighzadeh","Dept. of Biomedical Engineering, Izmir University of Economics, Izmir, Turkey; Dept. of Electrical and Electronics Eng., Izmir University of Economics, Izmir, Turkey; Dept. of Electrical and Electronics Eng., Izmir University of Economics, Izmir, Turkey; Dept. of Business Admin., Izmir Katip Celebi University, Izmir, Turkey",2022 30th Signal Processing and Communications Applications Conference (SIU),"29 Aug 2022","2022","","","1","4","In this study, a method is proposed to detect the presence of olfactory stimuli from Electroencephalogram (EEG) signals to be used in neuromarketing applications. Odor is used in different ways in neuromarketing applications since it stimulates various emotions. Multi-channel EEG signals were recorded from the volunteers while they were subjected to two open boxes of unscented and scented products in succession. After the necessary preprocessing steps, EEG sub-band powers were calculated for 14 EEG channels. These features were classified using machine learning methods, and the EEG segments in which the olfactory stimulus was present were classified. The results show that the proposed method gives successful results with 92% accuracy, 93% precision, 92% recall, and 92% F1-score using the Random Forest classifier.","2165-0608","978-1-6654-5092-8","10.1109/SIU55565.2022.9864841","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9864841","Neuromarketing;Electroencephalogram (EEG);olfactory stimulus;Machine learning","Time-frequency analysis;Machine learning algorithms;Olfactory;Neuromarketing;Feature extraction;Particle measurements;Electroencephalography","","4","","14","IEEE","29 Aug 2022","","","IEEE","IEEE Conferences"
"Evaluation of Density Based Odor Classification by General Type-2 Fuzzy Set Induced Pattern Classifier","M. Laha; L. Ghosh; S. Parui; S. Ghosh; A. Konar","Artificial Intelligence Lab, Jadavpur University, Kolkata, India; Artificial Intelligence Lab, Jadavpur University, Kolkata, India; Electrical Engineering Department, Jadavpur University, Kolkata, India; Artificial Intelligence Lab, Jadavpur University, Kolkata, India; Artificial Intelligence Lab, Jadavpur University, Kolkata, India","2018 International Conference on Wireless Communications, Signal Processing and Networking (WiSPNET)","18 Nov 2018","2018","","","1","6","In recent days, density based Odor classification using EEG is a promising issue. As our environment becomes polluted with various gases, it is necessary to know that which gas is present in the atmosphere and in what density. Our work in this paper gives an elementary approach to solve this problem. We have utilized liquid stimuli with three different concentration levels as Low (25% aroma and 75% water), medium (50% aroma and 50% water) and High (75% aroma and 25% water). General type-2 Fuzzy Classifier is used to classify the three different density stimuli. An accuracy of 86% is obtained in this experiment. Thus, we can illustrate that different density stimuli can be separable with EEG signals. The accuracy level can be further increased with other improved classifiers.","","978-1-5386-3624-4","10.1109/WiSPNET.2018.8538634","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8538634","Liquor Density Based Smell Classification;General Type 2 Fuzzy Set;Principal Component Analysis;EEG","Feature extraction;Electroencephalography;Olfactory;Scalp;Standards;Support vector machines;Fuzzy sets","","6","","24","IEEE","18 Nov 2018","","","IEEE","IEEE Conferences"
"A Double-Square-Based Electrode Sequence Learning Method for Odor Concentration Identification Using EEG Signals","H. -R. Hou; Q. -H. Meng","Tianjin Key Laboratory of Process Measurement and Control, School of Electrical and Information Engineering, Institute of Robotics and Autonomous Systems, Tianjin University, Tianjin, China; Tianjin Key Laboratory of Process Measurement and Control, School of Electrical and Information Engineering, Institute of Robotics and Autonomous Systems, Tianjin University, Tianjin, China",IEEE Transactions on Instrumentation and Measurement,"25 Jun 2021","2021","70","","1","10","The aim of this study is to improve the recognition performance of olfactory electroencephalogram (EEG) signals induced by different odor concentrations, which is a new challenge in the field of olfactory EEG research. To do this, a novel double-square-based electrode sequence (DSES) learning method is elaborately proposed. First, two square-based feature sets, each with N levels, are constructed based on N power-spectral-density (PSD) features extracted from N EEG electrodes. Subsequently, the electrode sequence (ES) codes are obtained by arranging the N feature values of each level of each square feature set in ascending order. Finally, inspired by the k-nearest neighbor ( k-NN), a minimum inconsistency classification is presented to find the odor concentration class whose ES codes are the least inconsistent with those of the testing sample. In the experiment, rose and rotten odors, each with five concentrations, were used to induce olfactory EEG signals on 13 participants. Experimental results reveal that, using the proposed DSES method, considerably high classification accuracies of 94.2% and 92.9% on five different concentrations of the rose and rotten odors were obtained, respectively, significantly outperforming ten other methods. These results verify the superiority of the proposed DSES method in identifying different odor concentrations. In addition, the EEG dataset with 4550 samples is made public through the website presented in this study. In this way, the proposed DSES method combined with the published EEG dataset may further promote the development of olfactory EEG recognition research.","1557-9662","","10.1109/TIM.2021.3090177","National Key Research and Development Program of China(grant numbers:2017YFC0306200); Tianjin Natural Science Foundation(grant numbers:20JCZDJC00150,20JCYBJC00320); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9458278","Biological signal processing;double-square-based electrode sequence (DSES) learning method;odor concentration stimulation;olfactory electroencephalogram (EEG);power-spectral-density (PSD) feature","Electroencephalography;Feature extraction;Electrodes;Olfactory;Signal processing;Signal processing algorithms;Learning systems","","4","","38","IEEE","17 Jun 2021","","","IEEE","IEEE Journals"
"Brain-computer interface for olfaction: machine learning decoding odors from EEG","I. Ninenko; G. Gritsenko; N. Bukreev; A. Ossadtchi; M. Lebedev","Centre for Bioelectric Interfaces, HSE University, Moscow, Russia; Biology Department, Moscow State University, Moscow, Russia; Sensorylab, Inc., Moscow, Russia; Centre for Bioelectric Interfaces, HSE University, Moscow, Russia; CNBR Skoltech, Moscow, Russia",2021 Third International Conference Neurotechnologies and Neurointerfaces (CNN),"2 Nov 2021","2021","","","74","75","The final aim of our research is to develop a braincomputer interface (BCI) for olfaction. Our research program relies on modern olfactory displays and advanced processing of electroencephalography (EEG) and respiratory data in order to develop methods for robust olfactory BCI systems. Here we present the initial results from 17 subjects of our ongoing study. Applying k-nearest neighbors algorithm (k-NN) classification methods we achieve up to 79.9% accuracy for within subject classification of EEG signals for odor pairs. We propose some methods for further improvement of classification algorithm. EEG classification for different olfactory stimuli is the first step in this research, followed by the development of odor-imagery BCIs and odor-based neurofeedback.","","978-1-6654-2474-5","10.1109/CNN53494.2021.9580271","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9580271","neurofeedback;BCI;olfaction;EEG;machine learning","Olfactory;Machine learning;Electroencephalography;Brain-computer interfaces;Classification algorithms;Decoding;Neurotechnology","","1","","2","IEEE","2 Nov 2021","","","IEEE","IEEE Conferences"
