"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"EEG-based Emotion Classification - A Theoretical Perusal of Deep Learning Methods","K. Sana Parveen; J. T. Panachakel; H. Ranjana; S. Sidharth; A. A. Samuel","Dept. of Electronics and Comm. Engg., College of Engineering, Trivandrum, India; Dept. of Electronics and Comm. Engineering, College of Engineering, Trivandrum, India; Dept. of Electronics and Comm. Engg., College of Engineering, Trivandrum, India; Dept. of Electronics and Comm. Engg., College of Engineering, Trivandrum, India; Dept. of Electronics and Comm. Engg., College of Engineering, Trivandrum, India",2023 2nd International Conference for Innovation in Technology (INOCON),"19 Apr 2023","2023","","","1","6","Human emotions are the basic element in the determination of a human’s cognitive abilities. These are the reaction of the human brain to internal or external events. Recognizing of different human emotions using a brain-machine interface is a crucial in understanding the emotional well-being of a patient who is completely paralyzed. One of the modalities for capturing neural activities in a brain-machine interface for recognizing human emotions is electroencephalogram (EEG). EEG-based systems for recognizing human emotions could offer a quick, simple, accessible, and user-friendly method for determining emotions. In the last few years emotion identification based on EEG has achieved significant attention. Many machine learning involved technologies have been developed for the classification of emotions of humans. Here we review the modern developments in the research area of emotion identification using deep learning methods, focusing on both feature extraction and classification methods. We also present the comparison of the accuracies obtained by different models.","","979-8-3503-2092-3","10.1109/INOCON57975.2023.10101002","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10101002","Emotion Recognition;EEG;Emotion Classification;LSTM;CNN;Deep Learning","Deep learning;Learning systems;Emotion recognition;Technological innovation;Neural activity;Feature extraction;Brain modeling","","","","34","IEEE","19 Apr 2023","","","IEEE","IEEE Conferences"
"EEG feature extraction and classification using feed forward backpropogation algorithm for emotion detection","S. G. Mangalagowri; P. C. P. Raj","Dept. of ECE, M.S.Engg College, Bangalore; Dept. of ECE, M.S.Engg College, Bangalore","2016 International Conference on Electrical, Electronics, Communication, Computer and Optimization Techniques (ICEECCOT)","26 Jun 2017","2016","","","183","187","Electroencephalography is a clinical technique which reads the scalp electrical activity from brain structures. The electroencephalogram (EEG) records the scalp surface using metal electrodes and conductive media[6], and inhibits lots of information to different emotional states and the recorded data is very complex. In the present work EEG signal is used to detect emotions at different situations. The real emotions are detected which acts as a real indicator described by the human subject. In this paper, the EEG signals are analyzed for feature extraction using “db4” wavelet using multilevel decomposition. 10 real human subjects real EEG samples are collected using standard International 10-20 Electrode placement system which is placed over an entire scalp of human subject and it is decomposed into 5 different EEG bands using Discrete wavelet Transform (DWT). Emotion detection is the task of emotional state like recognizing a person's happiness, fear, anger, confusion or deceit across both voice and non voice channels. Emotion detection is based on a set of conventional features which are extracted like energy, Power spectral density, from the EEG signals for classifying emotions and to identify the intensity level of different bands of EEG signal. Feature extraction results are obtained by using “Bior 5.5” and “db4” wavelet for signal decomposition and to obtain the accurate frequency bands and feature Classification is performed by obtaining an accuracy of 75% for normal patient and 65% for abnormal patient.","","978-1-5090-4697-3","10.1109/ICEECCOT.2016.7955211","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7955211","Electroencephalogram;Emotion detection;Discrete wavelet transform;Feature extraction;Bior 5.5","Electroencephalography;Feature extraction;Electrodes;Discrete wavelet transforms;Classification algorithms;Emotion recognition","","12","","20","IEEE","26 Jun 2017","","","IEEE","IEEE Conferences"
"A Novel Emotion Recognition System Based on Non-Invasive EEG Signals","H. Jin; Z. Jin; Y. -G. Kim; K. Li","School of Computer Science and Technology, Anhui University, Hefei, China; Foothill Preparatory School, Temple City, California, USA; Department of Computer Engineering, Sejong University, Seoul, South Korea; School of Electronic and Information Engineering, Anhui University, Hefei, China",2025 4th International Conference on Sentiment Analysis and Deep Learning (ICSADL),"27 Mar 2025","2025","","","810","815","Emotion recognition is an important scenario for EEG applications, which can assist in the stable analysis of EEG information. In this study, the novel emotion recognition system based on non-invasive EEG signals is proposed. In the signal acquisition and the processing stage, this study adopted a standardized EEG signal acquisition process, combined with artifact space reconstruction technology to remove signal noise, laying the foundation for accurate analysis process. In the EEG data feature extraction stage, this study effectively captures the randomness and complexity characteristics of the EEG signals through an algorithm that combines differential entropy and power spectral density. Subsequently, at the emotion recognition level, this study designed and trained a deep neural network model, including four convolutional layers, four maximum pooling layers and a fully connected layer, to extract multi-level features and complete the emotion data classification. The experiment was verified on a self-collected EEG dataset, and 10 groups of comparative tests were conducted on the Accuracy and Precision indicators, with the traditional algorithm as the comparison object. The results show that the system has good performance in emotion recognition accuracy.","","979-8-3315-2392-3","10.1109/ICSADL65848.2025.10932987","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10932987","Emotion Recognition;EEG Signals;Non-Invasive;Neural Networks;Brain-Computer Interface (BCI)","Deep learning;Emotion recognition;Accuracy;Space technology;Signal processing algorithms;Feature extraction;Brain modeling;Electroencephalography;Entropy;Classification algorithms","","","","26","IEEE","27 Mar 2025","","","IEEE","IEEE Conferences"
"Emotion Classification from Short-term EEG Signals in Deep Learning","Y. Mao; L. Song; X. Zeng","Academy for Eng. & Tech., Fudan University, Shanghai, China; Academy for Eng. & Tech., Fudan University, Shanghai, China; Academy for Eng. & Tech., Fudan University, Shanghai, China",2021 3rd International Symposium on Smart and Healthy Cities (ISHC),"29 Jun 2022","2021","","","169","173","Emotion is the result of brain processing after the combination of the surrounding environmental state and the individual physiological state. Its essence is the individual perceptual response to the things around him, and the result of the interaction between man and the environment. There is a strong correlation between human cognitive behavior and psychological activities and EEG signals. The physiological activities of the brain can directly reflect individual emotional activities. EEG signal is one of the important input signals in the affective calculation. Correct emotion representation is a key step in emotion recognition research. This paper aims to study emotion EEG recognition through the representation of emotion classification. The author collected 4000 EEG samples (including 64 channels) of four emotions with a time length of 3s, which were neutral, happy, sad, and fear. According to the characteristic that emotions can not be mutated, setting the sample length of 3s can more flexibly grasp the subjects' emotions in a short time. In this paper, two deep learning methods, LSTM and CNN, are used to identify the positive and negative emotions of the new dataset and DEAP (Database for Emotion Analysis using Physical Signal, including 40 channels). The accuracy of the new dataset is 89% and 74% respectively, which are higher than 72% and 70% of DEAP.","","978-1-6654-6743-8","10.1109/ISHC54333.2021.00038","Science and Technology Commission of Shanghai Municipality(grant numbers:21JC1405300); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9804441","EEG;Data Set;Emotion Classification;Deep Learning","Deep learning;Emotion recognition;Correlation;Databases;Urban areas;Psychology;Brain modeling","","3","","18","IEEE","29 Jun 2022","","","IEEE","IEEE Conferences"
"Identifying Rules for Electroencephalograph (EEG) Emotion Recognition and Classification","E. S. Pane; M. A. Hendrawan; A. D. Wibawa; M. H. Purnomo","Department of Electrical Engineering, Institut Teknologi Sepuluh Nopember, Surabaya, Indonesia; Department of Electrical Engineering, Institut Teknologi Sepuluh Nopember, Surabaya, Indonesia; Department of Computer Engineering, Institut Teknologi Sepuluh Nopember, Surabaya, Indonesia; Department of Computer Engineering, Institut Teknologi Sepuluh Nopember, Surabaya, Indonesia","2017 5th International Conference on Instrumentation, Communications, Information Technology, and Biomedical Engineering (ICICI-BME)","18 Nov 2018","2017","","","167","172","In order to identify rules of emotion classification in EEG-based emotion recognition, this paper utilizes rule-based classifier and decision tree algorithm to construct EEG-based emotion classification models for four target emotions, namely happy, sad, angry, and relaxed. Considering different bands of frequency in EEG signals, the band pass IIR filter with Chebyshev type II window was applied to separate the EEG signal into gamma, beta, alpha, and theta bands. Time and frequency domain features extraction methods are presented to seek the relevant features within the EEG signals related to emotional states. For emotion classification, we compared three methods: rules algorithm (RIPPER), decision tree algorithm (J4.8), and SVM. To evaluate our proposed method, a real EEG dataset from DEAP database were used. For the recorded 5-channel EEG signals, the result shows that the RIPPER algorithm yields best performance accuracy of 92.01% in binary classification of sad versus relaxed emotional state. In regards with emotion classification accuracy, rule-based classification model performed better compared to decision tree algorithm. A promising result was obtained from features extracted from beta and gamma bands of EEG signals. From the experiment, the rules classifier model generated 10 rules of emotion classification, while the validation of the rules achieved an average accuracy of 81.64% for relaxed emotion class.","2158-0456","978-1-5386-3455-4","10.1109/ICICI-BME.2017.8537731","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8537731","Emotion Recognition;Electroencephalograph (EEG);Emotion Classification;Rules-based Classifier;Rules identification","Electroencephalography;Feature extraction;Classification algorithms;Emotion recognition;Decision trees;Brain modeling;Prediction algorithms","","14","","19","IEEE","18 Nov 2018","","","IEEE","IEEE Conferences"
"EEG-Based Emotion Recognition with EERN Model","Z. Hou; Z. Lin; Q. Zheng; M. Jiang; Z. Lin; Y. Zhang; J. Bao","Beijing Institute of Fashion Technology, Chaoyang, Beijing, China; Beijing Institute of Fashion Technology, College of materials design & engineering, Chaoyang, Beijing, China; Department of Computer and Information Technology, Beijing Jiaotong University, Haidian, Beijing, China; Beijing Institute of Fashion Technology, College of Bushiness, Chaoyang, Beijing, China; Beijing Institute of Fashion Technology, College of Bushiness, Chaoyang, Beijing, China; Beijing Institute of Fashion Technology, College of Bushiness, Chaoyang, Beijing, China; Beijing Institute of Fashion Technology, College of materials design & engineering, Chaoyang, Beijing, China",2024 9th International Conference on Intelligent Computing and Signal Processing (ICSP),"12 Nov 2024","2024","","","830","834","Emotion classification is a key technology in neuroscience and BCI, helping computers to describe and understand emotions. Compared to non-physiological signals such as physical behavior and voice, EEG is a more scientific technology for emotion classification task because of its immutability. With the advancement of Graphics Processing Units(GPU) and artificial intelligence,deep learning algorithms obtain excellent performance for emotion recognition with EEG. In this paper, we propose an Emo-EEGResNet (EERN) model, which consists of an EERN-Data tool for original data generation, an EERN-DE for feature extraction, and an EERN-net based on Res-net for emotion classification. Compared to SVM, Logistic Regression, Decision Tree and CNN, the EERN model has better performance with strong robustness in emotion recognition. The classification accuracy of these four algorithms are 74.75%, 76.01 %, 63.08%, 83% respectively in SEED datasets, while EERN is 93.4 %. The results prove that EERN is better suited for emotion recognition than several of the comparative methods.","","979-8-3503-7654-8","10.1109/ICSP62122.2024.10743301","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10743301","EEG;SEED;Deep Learning;EERN;SVM","Support vector machines;Emotion recognition;Accuracy;Computational modeling;Graphics processing units;Data collection;Brain modeling;Feature extraction;Electroencephalography;Classification algorithms","","","","19","IEEE","12 Nov 2024","","","IEEE","IEEE Conferences"
"Multimodal EEG Emotion Recognition Using Bidirectional GRU with Attention Mechanism","L. Li","University of Leeds, Leeds, UK",2023 17th International Conference on Complex Medical Engineering (CME),"25 Jun 2024","2023","","","120","124","This paper introduces a multi-modal EEG emotion recognition approach utilizing bidirectional GRU models and attention mechanisms. It incorporates EEG and eye movement features to create multi-modal features rich in emotional information. The bidirectional GRU network with attention mechanisms captures deep context dependencies, improving emotion classification accuracy within subjects. Cross-subject experiments demonstrate the model's generalizability. Comparative experiments validate its effectiveness against single-modal features and existing models. This approach presents a promising avenue for the development of multi-modal emotion recognition in brain-computer interfaces, offering potential for further optimization and enhanced accuracy in future research.","","979-8-3503-1611-7","10.1109/CME60059.2023.10565605","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10565605","machine learning;deep learning;multimodal emotion recognition;EEG","Deep learning;Emotion recognition;Accuracy;Fuses;Brain modeling;Electroencephalography;Brain-computer interfaces","","","","9","IEEE","25 Jun 2024","","","IEEE","IEEE Conferences"
"An EEG emotion recognition method based on AdaBoost classifier","T. Lv; J. Yan; H. Xu","Faculty of Information Technology, Beijing University of Technology, Beijing, China; Faculty of Information Technology, Beijing University of Technology, Beijing, China; Faculty of Information Technology, Beijing University of Technology, Beijing, China",2017 Chinese Automation Congress (CAC),"1 Jan 2018","2017","","","6050","6054","At present, most of the EEG emotion recognition studies have taken all electric shocks or filtered electrodes as a feature and they are integrated (combined) with simple features that are extracted from other signals as a single classifier Emotional classification, but there are problems such as low efficiency and low accuracy. Aiming at this problem, this paper proposes an EEG emotion classification method based on AdaBoost classifier to optimize the algorithm, dividing the feature samples into different channels, and then using the genetic algorithm to identify the EEG emotion, and the algorithm achieves in Matlab. The experimental result shows that the average recognition rate of EEG is 90.8%, which is superior to the current single classifier and majority voting method, and it has better stability and generalization performance.","","978-1-5386-3524-7","10.1109/CAC.2017.8243867","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8243867","EEG emotion recognition;Emotion classification;AdaBoost classifier;Genetic algorithm","Electroencephalography;Classification algorithms;Emotion recognition;Training;Feature extraction;Genetic algorithms;Prediction algorithms","","6","","18","IEEE","1 Jan 2018","","","IEEE","IEEE Conferences"
"An emotional EEG signal classification research based on deep learning","B. Cai; W. Quan; Q. Li; Y. Song","School of Computer Science and Technology, Changchun University of Science and Technology, Changchun, China; School of Computer Science and Technology, Changchun University of Science and Technology, Changchun, China; School of Computer Science and Technology, Changchun University of Science and Technology, Changchun, China; Zhongshan Institute of Changchun University of Science and Technology, Zhongshan, China","2022 3rd International Conference on Computer Vision, Image and Deep Learning & International Conference on Computer Engineering and Applications (CVIDL & ICCEA)","18 Jul 2022","2022","","","326","329","For the task of classifying emotional EEG signals with rich high-dimensional features in the time and frequency domains, this paper proposes a novel deep learning algorithm, SincNet-E, inspired by the speech recognition model SincNet. The convolutional structure of SincNet is adapted so that it can be considered as consisting of two pooling layers alternately superimposed with three convolutional groups. Subsequently, the LSTM structure is added after the convolutional structure to enhance its extraction of time-dependent features in the signal data. This novel model effectively improves the classification performance of the deep learning algorithm for emotional EEG data, ultimately achieving an accuracy of about 83.89% without the need for manual feature extraction.","","978-1-6654-5911-2","10.1109/CVIDLICCEA56201.2022.9825399","Jilin Scientific and Technological Development Program; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9825399","EEG;deep learning;emotion classification;convolutional neural networks","Deep learning;Adaptation models;Convolution;Speech recognition;Feature extraction;Brain modeling;Electroencephalography","","","","12","IEEE","18 Jul 2022","","","IEEE","IEEE Conferences"
"EEG-based emotion classification using deep belief networks","W. -L. Zheng; J. -Y. Zhu; Y. Peng; B. -L. Lu","Department of Computer Science and Engineering, Shanghai Jiao Tong University, Shanghai, China; Department of Computer Science and Engineering, Shanghai Jiao Tong University, Shanghai, China; Department of Computer Science and Engineering, Shanghai Jiao Tong University, Shanghai, China; Department of Computer Science and Engineering, Shanghai Jiao Tong University, Shanghai, China",2014 IEEE International Conference on Multimedia and Expo (ICME),"8 Sep 2014","2014","","","1","6","In recent years, there are many great successes in using deep architectures for unsupervised feature learning from data, especially for images and speech. In this paper, we introduce recent advanced deep learning models to classify two emotional categories (positive and negative) from EEG data. We train a deep belief network (DBN) with differential entropy features extracted from multichannel EEG as input. A hidden markov model (HMM) is integrated to accurately capture a more reliable emotional stage switching. We also compare the performance of the deep models to KNN, SVM and Graph regularized Extreme Learning Machine (GELM). The average accuracies of DBN-HMM, DBN, GELM, SVM, and KNN in our experiments are 87.62%, 86.91%, 85.67%, 84.08%, and 69.66%, respectively. Our experimental results show that the DBN and DBN-HMM models improve the accuracy of EEG-based emotion classification in comparison with the state-of-the-art methods.","1945-788X","978-1-4799-4761-4","10.1109/ICME.2014.6890166","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6890166","EEG;Emotion Classification;Affective Computing;Deep Belief Network","Electroencephalography;Hidden Markov models;Support vector machines;Feature extraction;Brain models;Accuracy","","226","","9","IEEE","8 Sep 2014","","","IEEE","IEEE Conferences"
